id,location_name,experience,safety_level
1892,Bavdhan,Good residential area,4
1893,Yerawada,Good residential area,3
1894,Kothrud,Good residential area,1
1895,Magarpatta,Good residential area,2
1896,Shivaji Nagar,Well-connected,4
1897,Kothrud,Busy and bustling,3
1898,Dhankawadi,Tech hub with good facilities,1
1899,Hinjewadi,Safe and quiet,5
1900,Bibwewadi,Peaceful and green,4
1901,Kharadi,Well-connected,4
1902,Koregaon Park,Good residential area,1
1903,Swargate,Great place with lots of amenities,1
1904,Hadapsar,Family-friendly,1
1905,Bavdhan,Tech hub with good facilities,1
1906,Baner,Great place with lots of amenities,2
1907,Swargate,Family-friendly,4
1908,Aundh,Peaceful and green,1
1909,Koregaon Park,Good residential area,5
1910,Kothrud,Safe and quiet,5
1911,Deccan Gymkhana,Family-friendly,3
1912,Kharadi,Tech hub with good facilities,3
1913,Koregaon Park,Well-connected,5
1914,Kharadi,Well-connected,3
1915,Yerawada,Vibrant and lively,5
1916,Wakad,Developing area,4
1917,Kharadi,Safe and quiet,5
1918,Wakad,Well-connected,5
1919,Hinjewadi,Tech hub with good facilities,3
1920,Pimple Saudagar,Good residential area,5
1921,Kharadi,Tech hub with good facilities,5
1922,Yerawada,Busy and bustling,5
1923,Shivaji Nagar,Peaceful and green,3
1924,Camp,Busy and bustling,2
1925,Pimple Saudagar,Vibrant and lively,2
1926,Magarpatta,Safe and quiet,2
1927,Hadapsar,Safe and quiet,1
1928,Kothrud,Family-friendly,3
1929,Hadapsar,Busy and bustling,5
1930,Swargate,Busy and bustling,4
1931,Shivaji Nagar,Vibrant and lively,2
1932,Shivaji Nagar,Peaceful and green,4
1933,Yerawada,Safe and quiet,2
1934,Bibwewadi,Developing area,2
1935,Koregaon Park,Great place with lots of amenities,3
1936,Aundh,Family-friendly,4
1937,Wakad,Great place with lots of amenities,1
1938,Hadapsar,Well-connected,1
1939,Deccan Gymkhana,Good residential area,2
1940,Shivaji Nagar,Safe and quiet,2
1941,Bibwewadi,Good residential area,2
1942,Pimple Saudagar,Family-friendly,1
1943,Kothrud,Tech hub with good facilities,2
1944,Pimple Saudagar,Peaceful and green,2
1945,Swargate,Tech hub with good facilities,5
1946,Wakad,Peaceful and green,1
1947,Camp,Tech hub with good facilities,5
1948,Pashan,Developing area,2
1949,Bavdhan,Tech hub with good facilities,5
1950,Viman Nagar,Busy and bustling,2
1951,Hinjewadi,Family-friendly,4
1952,Koregaon Park,Tech hub with good facilities,4
1953,Hinjewadi,Peaceful and green,5
1954,Pimple Saudagar,Family-friendly,4
1955,Dhankawadi,Vibrant and lively,1
1956,Pimple Saudagar,Busy and bustling,3
1957,Deccan Gymkhana,Well-connected,1
1958,Viman Nagar,Developing area,2
1959,Camp,Tech hub with good facilities,3
1960,Kothrud,Good residential area,3
1961,Aundh,Great place with lots of amenities,3
1962,Bibwewadi,Great place with lots of amenities,5
1963,Dhankawadi,Well-connected,3
1964,Pimple Saudagar,Great place with lots of amenities,3
1965,Viman Nagar,Vibrant and lively,2
1966,Shivaji Nagar,Vibrant and lively,1
1967,Kharadi,Tech hub with good facilities,2
1968,Shivaji Nagar,Peaceful and green,5
1969,Bavdhan,Vibrant and lively,3
1970,Magarpatta,Family-friendly,1
1971,Dhankawadi,Good residential area,1
1972,Shivaji Nagar,Developing area,2
1973,Pashan,Safe and quiet,2
1974,Bavdhan,Family-friendly,4
1975,Pashan,Tech hub with good facilities,5
1976,Hinjewadi,Family-friendly,4
1977,Pimple Saudagar,Great place with lots of amenities,2
1978,Aundh,Vibrant and lively,2
1979,Kothrud,Great place with lots of amenities,3
1980,Shivaji Nagar,Great place with lots of amenities,5
1981,Bibwewadi,Well-connected,2
1982,Aundh,Busy and bustling,5
1983,Kothrud,Great place with lots of amenities,4
1984,Koregaon Park,Great place with lots of amenities,4
1985,Deccan Gymkhana,Tech hub with good facilities,3
1986,Pimple Saudagar,Peaceful and green,5
1987,Aundh,Busy and bustling,2
1988,Pashan,Peaceful and green,1
1989,Wakad,Great place with lots of amenities,2
1990,Kothrud,Good residential area,2
1991,Bavdhan,Good residential area,3
1992,Kothrud,Peaceful and green,1
1993,Aundh,Safe and quiet,3
1994,Hadapsar,Safe and quiet,3
1995,Viman Nagar,Great place with lots of amenities,2
1996,Bavdhan,Developing area,5
1997,Kharadi,Busy and bustling,3
1998,Viman Nagar,Vibrant and lively,5
1999,Yerawada,Busy and bustling,2
2000,Magarpatta,Busy and bustling,3
